Datetime,Text,Username
2023-03-15 23:55:43+00:00,Weh tuh duit pajak harusnya ada lah budget buat komisi ke artis bisa kali pak/bu perpajakan....,RuA_HoneyBadger
2023-03-15 23:53:53+00:00,"@enak_tahu1 @jastipbtc @asumsico Ganti sistem jd pajak lima tahunan, kok ya gak mikir lagian pajak kendaraan itu pajak daerah, diperuntukkan utk keuangan daerah, hanya sekian persen utk pembangunan jalan.",nickregar
2023-03-15 23:53:52+00:00,@NoraxIchan @Migran_TV_7777 @DitjenPajakRI @kring_pajak @pajakpmb @KemenkeuRI @jokowi @prastow Yang ga punya malu itu pengangguran rasa presiden.,triliuner007
2023-03-15 23:53:26+00:00,@akhmadsayfull @Migran_TV_7777 @DitjenPajakRI @kring_pajak @pajakpmb @KemenkeuRI @jokowi @prastow Bacot asal njeplak ciri kadrun,triliuner007
2023-03-15 23:52:43+00:00,@DrEvaChaniago Guru Honorer @kemenpendidikan  vs Gaji pegawai pajak @KemenkeuRI seperti 'Bumi vs Langit',fazamutaqi0210
2023-03-15 23:52:39+00:00,"@mas2badut @tanyakanrl Kasian dong klo mreka yg gk ngerasain manfaat pajak 🥲

Apa bedanya sama penjajah?",DeadiLBiscione
2023-03-15 23:52:36+00:00,"@kring_pajak #LupaEFIN
a.sudah
b.badan",EkoArdianto98
2023-03-15 23:52:33+00:00,"Capek2 bayar pajak, bikin gambar aja pake AI 🤣😂",bung_nopal
2023-03-15 23:52:30+00:00,@Migran_TV_7777 @DitjenPajakRI @kring_pajak @pajakpmb @KemenkeuRI @jokowi @prastow Lah mending pertahankan srimulyani jasanya banyak dan masukkan sampah masyarakat seperti kamu ke penjara drun.,triliuner007
2023-03-15 23:52:10+00:00,"@dansmurff @musafir_hidup @asumsico Ini memang yg merepotkan,  padahal mau bayar pajak, tapi masih di repotkan
Ya wegah",gito_729
2023-03-15 23:50:57+00:00,"BENARKAH 300 TRILIUN TIDAK SEMUA BERASAL DARI KORUPSI PAJAK? 
#IslamPunyaSolusi #Islamkaffah #skandalviral  #djparty #PajakDikebiriPejabat #pajakkitauntukpejabat #pajak 
https://t.co/2OdFhjfzbU https://t.co/edg5MfNUeE",gudangopinii
2023-03-15 23:48:28+00:00,@hoteliercrypto Harusnya mereka kenal sama org pajak,bagastrisnawan
2023-03-15 23:47:57+00:00,@GunRomli Bayar pajak jg ga nih...,jibun_ajib
2023-03-15 23:47:46+00:00,@CNNIndonesia Rakyat semakin dicekik dengan pajak,AnuAnu00001
2023-03-15 23:47:37+00:00,"d-3 relawan pajak, semangat💁🏻‍♀️",loeymarkie
2023-03-15 23:47:30+00:00,@yangmi3prnew Sampai sekarang belum jadi tersangka penipuan pajak. Jago dia.,sitohang76
2023-03-15 23:47:26+00:00,"@txtdrpemerintah Kalau mau gaji guru setara dengan pegawai pajak, harus ada  proses rekrutmen ulang agar hanya guru2 yg berkualitas yg diterima. 
Contoh :
Guru matematika, fisika, kimia minimal S1 dari 10 univeristas terbaik dalam negeri dgn IPK minimal 3.0",feno102
2023-03-15 23:46:21+00:00,@OmHardiman @GunRomli Apakah kita sdh meneliti yg dikatakan Guntur Romli bhw sebagian besar ulama setuju dg pajak ? Kok ukurannya pajak haram krn merasa terpaksa bayar ini logika apa ?. Bukankah kewajiban/peraturan itu umumnya memaksa?,BugiYanti2
2023-03-15 23:46:05+00:00,"@nusantara_one Sy juga rakyat pembayar pajak, setuju dg MUI.",wilarmono
2023-03-15 23:45:37+00:00,"Selalu merasa cukup dan syukur atas apa yg dianugrahkan Sang Maha Pemberi sbab jika mengindhkannya meski berbaur kemewahan ttap saja akn mencari tmbhan dgn cra yg hram sprti menipu, mnggelapkan bhkn garong pajak rkyat.

Madrid
#หน้ากากกิเลน
#AllEngland2023
#AllEngland 
Liverpool",eSKey_KS
2023-03-15 23:45:22+00:00,"@kumparan @tweetbyirwan Permudah bayar pajak tahunan, gak mestinpakai ktp pemilik pertama",NsarHaq
2023-03-15 23:45:10+00:00,"Update 3 Fakta Kasus Geng Mario Dandy, Masih Ada 3 Anak Lain yang Jadi Saksi hingga Perpanjangan Penahanan

#mariodandy #anak #penganiayaandavid #Shane #DitjenPajak #pajak

https://t.co/tE5eBxgSf4",malang_network
2023-03-15 23:45:07+00:00,"@KompasTV 2 tanggal biar gak kena sanksi,,klo tanggal biar gak kena korupsi pajak tgl brp?",agusira81696952
2023-03-15 23:43:34+00:00,@GunRomli Khalid Basalamah ulama dan dai senior yang banyak menggali dalil dari Al-Qur'an dan hadits. Sepertinya tidak menghasut rakyat tidak boleh jika cara dengan seperti sekarang yang namanya pajak. Ustadz Kholid mencontohi yang bersyariah demi demi Indonesia diridhoi Allah SWT,AnisMuha1004
2023-03-15 23:43:24+00:00,"Memangnya pejabat tdk boleh dipanggil oleh rakyat? Orang2 MUI itu rakyat, mereka juga bayar pajak, wajar klo rakyat panggil pejabat, apa yg salah?",SyaefullahHamid
2023-03-15 23:42:28+00:00,Berarti selama ini dia nggak bayar pajak dunk ?????,Gunarso19799575
2023-03-15 23:42:26+00:00,"HMI soal 134 Pegawai Pajak Pegang Saham: Berpotensi Korupsi

Itu sudah pasti ‼️

#DecayRegime 
#DecayRegime 

https://t.co/lVEWTwITiG",genta__dhani
2023-03-15 23:42:18+00:00,"lha gaji kan emang udah sama, cuma tunjangannya yg beda. kelas staff paling tinggi di pajak itu kelas 13. sebulan tunjangannya bisa 5 kali gaji pokok gol III/D masa kerja 12 taun https://t.co/kwVu5FoONc",jaysansan
2023-03-15 23:42:16+00:00,"#indonesiamenyapa

Topik Indonesia menyapa pagi
1. Kepatuhan pajak peserta pemilu 2024 harus dibuka ke publik
2.Dialog ksp:bansos dan perlinsos di momen jelang lebaran 2023

Selengkapnya di 88,8FM, RRIPlayGo dan RRINET. - SPIC",RRIPrograma3
2023-03-15 23:41:43+00:00,@CNNIndonesia Kudunya guru itu digaji tinggi sedangkan yang di pajak di gaji UMK aja cukup kykny,StevenFajri3
2023-03-15 23:41:23+00:00,@Askrlfess Dirjen pajak,SofwanRzl
2023-03-15 23:40:19+00:00,"@govtictim @logikapolitikid Semoga hukum berjalan diarah yg tepat. Kasian juga yg bayar pajak tapi, penikmat pajak bukan masyarakat malah pejabrut",youaresweetypie
2023-03-15 23:39:06+00:00,@DitjenPajakRI Aku tetap semangat byr pajak demi kalian....iyaahh kaliaann...unch unch..kesayangan rakyat Indonesia 🥰🥰😘😘 https://t.co/cPtuBkTZhf,lita_hartoyo
2023-03-15 23:38:11+00:00,"Siapa setuju? 

Korpri Usul Gaji Guru Disetarakan dengan Pegawai Pajak

https://t.co/JduvDkMABm

Download aplikasi IDN untuk konten menarik lainnya 👇 

 https://t.co/3QXoXSSULC",unilubis
2023-03-15 23:38:01+00:00,"Ya haram lah digunain buat makmur para koruptor yg tdk bayar pajak pula, eh rakyat yg bayar malah dibebani dg biaya hidup yg tinggi, bayar pajak tuk bangun jalan begitu jalan mau dilewati mesti bayar lagi, sekali2 otak digunakan @GunRomli",yulian667192
2023-03-15 23:38:00+00:00,"Tapi apakah betul ustad doktor khalid basalamah mengharamkan pajak?
Kok bisa?
Mana dalilnya? https://t.co/U22DIw1KSf",AyaniMel
2023-03-15 23:37:51+00:00,"Penyuluh Pajak Kanwil DJP Bengkulu dan Lampung akan kembali mengudara di stasiun televisi nih, dengan tema Sampaikan SPT Hari Ini dan Lakukan Pemadanan NIK-NPWP.

Live di TVRI Lampung @TVRI_Lampung1 pada Kamis, 16 Maret 2023 pukul 15.00.

@DitjenPajakRI
#PajakBeLa #Lampung #Live https://t.co/qEKcDewpOG",PajakBeLa
2023-03-15 23:37:51+00:00,"Penyelenggara dapat bagian penjualan tiket.
GBK dapat uang sewa.
Blackpink dan YG makin kaya.
Negara dapat pajak.
Penonton happy.
Pedagang terimbas juga jualan naik.
Ojol dan taksi dapat juga.
Media dapat berita.
Dan ibu ada topik untuk dibahas.
Semua diuntungkan bu.
Win-Win 🫶",maniacpuyo
2023-03-15 23:36:40+00:00,@PartaiSocmed Piye iki emang boleh klo anggota KPK berkawan dgn Alun yg sedang ada masalah pajak takutnya ada konflik kepetingan gitu loh,Budionotaslim3
2023-03-15 23:36:32+00:00,"@kring_pajak #LupaEFIN
a.badan
b.sudah",MuhammadEryFeb2
2023-03-15 23:36:30+00:00,"so damn rude, padahal jabatan ngemis rakyat, duit juga pajak rakyat, cuman tanya hal harmless ""sebagai gubernur, politik, atau pribadi"" aja udah sakit hati",roazizzah
2023-03-15 23:36:29+00:00,"""Any tax is a discouragement and therefore a regulation so far as it goes."" #mosyantax",mosyantax
2023-03-15 23:36:27+00:00,"@jadisayaisi @127tigernroses @worksfess Cmiiw ya, aku baru 2 bln kerja si blm lapor pajak, spt dikasi biasanya tiap bln maret sama sdm trs dilaporin masing2, tp perhitungannya kalo gasalah dr bln jan-des 2022 utk pelaporan bln maret 2023. Karna aku per des 2022 blm kerja, jd blm lapor. Kamu kerja sejak kapan?",dinris15
2023-03-15 23:36:10+00:00,"Seorang guru SMKS Ponpes Manbauul Ulum, Kab. Cirebon, Jabar, MSH diberhentikan usai menulis komentar dianggap 'kurang sopan' di akun Instagram Gubernur  RK, rasanya kita bukan hidup di negara +62.
Sebenarnya untuk apa bayar pajak jika sekadar gunakan haknya pun tak boleh? 😡",farid_wajdi70
2023-03-15 23:35:31+00:00,"@Legit__duren Istri ketua umum partai ya wajar sih kalo hedon. Gak mau kalah dengan istri orang pajak dan beyacuko, penuh kemewahan dari duit rangorang.",Shaggy_Solo
2023-03-15 23:35:04+00:00,"@flaveescent Kalo gue bayar pajak pake samsat online nya Bapenda Jabar terus bayarnya di tokopedia.

Tapi, STNKnya nanti ngambil langsung Fau di samsat terdekat (yang masih satu wilayah sama polda).",rizkidohew
2023-03-15 23:33:14+00:00,"Rakyat juga males pak. Udah bayar pajak, tapi ikut mengawasi jalannya negara ini dan penegakkan hukum yang seolah ga tegak2. Mending muhasabah dulu aja, kalau emang udah, baru bilang kek gini",YourDearCrush98
2023-03-15 23:32:55+00:00,"Usul tambahan: gaji, tunjangan, dan remunerasi guru dan dosen yg persis sama dg pegawai pajak sesuai pangkat/golongannya.
Katanya mau endonesa 2045 jaya...",icukprayogi
2023-03-15 23:32:55+00:00,"@snmblex @GunRomli Pajak memang haram,dalm islam yg ada infaq ,zakat om",Lasiyo04094837
2023-03-15 23:32:28+00:00,"harusnya, lebih bagus lagi kalo lebih gede dari pegawai pajak",asemlambung_
2023-03-15 23:31:35+00:00,"Intip Sistem Pajak Canggih Sri Mulyani Cs, Berlaku di 2024! https://t.co/bRFeMsTbMb",cnbcindonesia
2023-03-15 23:31:03+00:00,Korpri Usul Gaji Guru Disetarakan dengan Pegawai Pajak https://t.co/4q4aqvsCNY,IDNTimes
2023-03-15 23:30:47+00:00,"Motorku motor buntut. Beli second harga 4 jt. Mau bayar pajak pd bln April. Aku disiplin bayar pajak. Tp mendengar bayar pajak thn ini mahal krn ada pajak progresif dll berasa lemes. Ya kali Pak naik 150 rb jg bikin pening. Jd males bayar pajak.
@DitjenPajakRI @samsatkotajogja",ofiewahyudi
2023-03-15 23:30:22+00:00,"@DokterTifa panitia, fans, grup nya, ojek, kang parkir? Negara dpt pajak, penipu tiket, media &amp; mgkn msh bnyk lg cmn qta ga dpt",aquazeroxx
2023-03-15 23:29:58+00:00,"@kring_pajak #LupaEFIN 
a. WP orang pribadi
b. Belum aktivasi EFIN di KPP",SiskAuqi
2023-03-15 23:29:51+00:00,@PartaiSocmed @KPK_RI Kalai orang biasa di cariin tugh penghasilan ibunya..terus di paksain bayar pajak penghasilan..ttaaeekkkkkk...👺👺,Achooe1
2023-03-15 23:29:34+00:00,"Dear @GunRomli @psi_id

Kalaulah HAJI juga dari APBN berasal dari pajak uang KAFIR

Seharusnya @Kemenag_RI juga mengakomodir umat Kristen untuk ibadah ke Yerusalem, Hindu ke Sungai Gangga 

Biar ada kesetaraan atas HAK umat beragama",yantanu2_08
2023-03-15 23:28:13+00:00,"@detikcom Mana yang lebih dulu tampil ada: 
Guru atau Orang Pajak? .
Gua jawab 
Guru lah .
Dia yg didik orang pajak dr PAUD sampe sampe Doktoral .

Orang pajak kemudian 

Tapi orang pajak setelah dididik jadi petugas pajak malah ngga mau bantu guru biar punya Rubicon.",All2nd1
2023-03-15 23:26:49+00:00,"Setiap kebijakan seharusnya dibuat berdasarkan kajian yg mendalam. Pertanyaan penelitiaan: adakah hubungan antara pemilik kendaraan tdk tertib data dgn kebijakan pajak progresif dan bbn? Jika ada, seberapa besar signifikan nya? @DivHumas_Polri",dickrahar
2023-03-15 23:25:44+00:00,"Dlm praktek, kebanyakan predicate crime Pajak / Bea Cukai melibatkan pejabat diinternalnya. Maka masalah ini tetap harus didalami oleh penegak hukum.
PPATK hanya bisa memberikan data inteligen kpd penegak hukum, dan tidak bisa membuka detail ke publik.

https://t.co/g5CzfYlAto",nazaqistsha
2023-03-15 23:25:12+00:00,Bobrok 134 Pegawai Pajak Punya Saham di 280 Perusahaan Tertutup #DecayRegime #DecayRegime https://t.co/HQ7f4DmJCY,MutzSemut
2023-03-15 23:25:10+00:00,harganya belum pajak dll 😃,kararessane
2023-03-15 23:25:04+00:00,Barusan aja emang boleh yah kalau pagi2 ? Kalau boleh saya besok mau sepedahan juga di Sudirman @DishubDKI_JKT @atcs_jakarta #pajak @detikcom @kompascom btw suara kolotrak bearing motor maap 😭🙏 https://t.co/vfFK0Wxl8Q,EnteNaon
2023-03-15 23:24:50+00:00,"ini belum termasuk pajak dan teman""nya 🤣😭",zttyfs
2023-03-15 23:24:05+00:00,@CNNIndonesia Kasihan yang udah bayar pajak terus digelapkan sama dia.  Eh dia enak aja bunuh diri duluan.,nonibeen
2023-03-15 23:23:20+00:00,"@mus_theib Wah setuju,yang bikin pinter pegawai pajak Yo guru,😁😁😁",Larre_alit
2023-03-15 23:23:10+00:00,"Masjid Raya Al-Jabbar Dibangun dari Pajak, Guntur Romli Gak Rela yang Diundang Ustaz Khalid: Dia Haramkan Pajak Loh! Lelucon atau Kebodohan? 

https://t.co/w9eIQyGSzP",yangmi3prnew
2023-03-15 23:22:32+00:00,@bukalapar @D4N_Like19 @kumparan ngomong kasar boleh yg penting jangan kritik.. simple kan,emfajar
2023-03-15 23:22:29+00:00,"@artinyaapaya @_CIKAL22_ @xonsxoo @worksfess Subsidi bbm dipotong, padahal pendapatan pajak naik🫠",FruitLover2345
2023-03-15 23:22:04+00:00,"@logikapolitikid Gaya elit bayar pajak sulit, kalah sama wong cilik ae pak pak rapael
Malu kon!!",Mandra892
2023-03-15 23:21:58+00:00,"@artinyaapaya @_CIKAL22_ @xonsxoo @worksfess Halaah apanya buat bayar pembangunan tol klo ujung2 nya ttp bayar tol pas udh jadi nanti.

Uang pajak kan juga buat gaji ASN itu",FruitLover2345
2023-03-15 23:21:57+00:00,@bebek_NKRI @hemaviton99 Biar bisa nyalon ketua KPK atau jdi pleciden butuh donatur org pajak kaleee yeee...😂😂😂,SHBcrypto
2023-03-15 23:21:15+00:00,"@NumeroUnoBDG @kumparan pemimpin tidak boleh anti kritik, tapi kalau kritikan di pin di sosmed boleh donk.. biar dirujak kawanan laler nya",emfajar
2023-03-15 23:20:39+00:00,@GunRomli Loe dapat cipratan duit pajak juga dari ngebuzzerp Rom? Romlah,ezy_rehym
2023-03-15 23:20:25+00:00,"@detikcom Kebalik, gaji orang pajak yang harus diturunkan setara gaji guru... 😂",herylink
2023-03-15 23:20:21+00:00,"Berarti 300T itu adalah harta yg diduga tindak pidana asalnya Pajak ?

Nah terus DJP pernah menyidik TPPU dari Pajak ga?
Masa iya dr 300T ga ada yg diproses lanjut oleh Penyidik DJP ?",mfatahilahakbar
2023-03-15 23:20:15+00:00,@geloraco Jelas haramlah.. Dlm islam tdk ada yg namanya pajak. Yg ada itu zakat,MehmetMax2
2023-03-15 23:20:01+00:00,"*DARI KASUS PAJAK SAMPAI BLACKPINK, REVOLUSI MENTAL DISOROT!!* https://t.co/flbdif98kz

#IslamPunyaSolusiBerkah 
📸 Dengan Syariah Kaffah
🌊 Khilafah Ajaran Islam 
#BangkitnyaAlGhuroba https://t.co/41WZ9WXFEH",fajrizilhuda
2023-03-15 23:19:18+00:00,"Said Aqil: Enggak Usah Bayar Pajak kalau Pejabatnya Masih Korupsi
https://t.co/FSUx5DPhih",geloraco
2023-03-15 23:19:00+00:00,@PartaiSocmed musti di reset ini negara biar pejabatnya diisi orang2 baru semua,emfajar
2023-03-15 23:18:15+00:00,"@kring_pajak Baik, terimakasih yaaaa",thathahuthatha
2023-03-15 23:16:32+00:00,"@kring_pajak Min gimana kalau mau cetak kartu npwp?
Karena waktu sy buat npwp waktu itu katanya kartu akan dikirim via POS, tapi sampai saat ini saya tidak menerima kartu npwp tsb?
Apakah bisa kalao tidak mendatangi langsung KPP atau memang harus dtg langsung ??",senja_auliaa
2023-03-15 23:16:30+00:00,"@om_eprajol @ElinaDio @sasakpujut Orang bijak taat pajak, orang buncit takut mijit. Lupakan rubicon kalo gitu om. 🤣🤣",generasiunyu
2023-03-15 23:15:35+00:00,"@Cihamtok @kancil_89 @GunRomli Pindah aja ke arab, yang gak ada pajak orang, hanya pajak perusahaan. Dipersilakan.",arivpermana
2023-03-15 23:15:14+00:00,Aturan Pajak Progresif Kendaraan Bermotor di Jakarta https://t.co/5VTah28kYO,IDNTimes
2023-03-15 23:14:21+00:00,"@kring_pajak kak, mohon tanya, untuk OP dengan pendapatan 60jt setahun dan umkm, menggunakan form SPT tahunan apa? 1770 atau 1770S?",Karina58308715
2023-03-15 23:13:33+00:00,"@arivpermana @kancil_89 @GunRomli Emas minyak sawit batubara pertanian semua ada kok makan dari pajak ya, utangnya banyak banget lagi, heran",Cihamtok
2023-03-15 23:11:25+00:00,Duit pajak gua kesini?????????,vrilsnubia
2023-03-15 23:11:14+00:00,"Pajak mana Pajak ?
🤣🤣🤣",MIMIWEEKA21
2023-03-15 23:11:00+00:00,"bagi PT atau BUMN atau instansi klo order dengan kami, kami menyediakan faktur pajak, invoice serta kuitansi resmi krn kita ada CV",PapoyManufaktur
2023-03-15 23:10:52+00:00,"@arivpermana @GunRomli Sumber daya alam Indonesia itu banyak banget, emas, nikel, minyak, batubara, sawit, uang hasil jualannya kemana? Kok pajak mulu diandelin",Cihamtok
2023-03-15 23:10:27+00:00,Tapi masa cuman balik modal aja. Pasti kan mau cuan lah seengaknya. Lah terus gimana tuh?. Terus yg dipake itu uang pajak rakyat. Sama utang luar negri.,AgurHarjanto
2023-03-15 23:09:30+00:00,"@yo2thok @jokowi Era orba separah2nya Tommy Suharto hny minta redusir pajak impor buat mobil Timor (Korsel). Apalagi ini malah subsidi ke Harga Retail EV?? Moral Hazard nya pemerintah dimana? bumi kalimantan bakal lebih hancur krn penambangan extra masiv utk supply suralaya, batang, paiton",vernandozz
2023-03-15 23:09:08+00:00,Di negeri ini tidak memberi kesempatan pengusaha kecil untuk maju kasi kesempatan  dibina untuk bisa bayar pajak dengan tidak sama dengan pengusaha besar bila perlu disubsidi dulu oleh pemerintah https://t.co/dKmbqSswBc,agungxraka
2023-03-15 23:08:27+00:00,"@Metro_TV @aniesbaswedan Tolong pak Anies siapin jauh hari apa2 yg mau dilakuin (program) saat terpilih jd presiden. Dahulukan program peningkatan ekonomi masyarakat bawah, tambal kebocoran kebocoran uang negara (korupsi, pajak), keadilan hukum, hilangkan polarisasi, tata ulang peraturan/UU yg kacau.",ariskoesnendar
2023-03-15 23:07:56+00:00,"@Metro_TV @aniesbaswedan Bagaimana rencana kedepannya dengan Pajak, cukai dll? Mau bersih total &amp; transparan gak? Pemasukan utama negara loh ini.. sayang klw gak transparan &amp; jelas kan.. oknum²nya juga harus diberantas lo Pak.! Klw B aja saya gak pilih Bapak.",IntercomYudi
2023-03-15 23:07:30+00:00,"Ketahuan Gelapkan Uang Pajak Rp 2,5 M Bikin Polisi di Samosir Bunuh Diri https://t.co/C2LRrHswka",detiksumut_
2023-03-15 23:07:28+00:00,"@GunRomli Gamau bayar pajak mah ga usah hidup di Indonesia,makan toh jenggot 🤣masih untuk ga dipancung kaya si Arab",NkriStrikes
2023-03-15 23:06:48+00:00,"""I am thankful for the taxes I pay because it means that I'm employed."" #mosyantax",mosyantax
2023-03-15 23:06:26+00:00,"Ini fujio ama yuken temen senasib krna punya pacar pd serius amat dan super sibuk,, diajakin makan bareng aja susah. Akhirnya mrka ngide maen ke senomon buat ngecengin kohei ama ryo yg baru aja jadian, sekalian minta pajak jadiannyaa. Mayan kan kohei tuan muda kaya raya 😌😌 https://t.co/8EsVeJM7w9",shenyushie
2023-03-15 23:04:54+00:00,"@SeputarTetangga Rakyat makin bergairah berbisnis JIKA APARAT MAU MENJAGA DAN MENJAMIN KEAMANAN. Alhasil negara maju, rakyat makmur krn pajak meningkat, lowongan kerja bertambah

Pemda harusnya dpt menghapus  IYURAN PAKSA ini. Dimana polisi dan satpol pp?

DPR perlu bahas ini dgn pihak terkait",NINUNINU100
2023-03-15 23:04:12+00:00,"Kelakuan mfud dan ketua PPATK membuat miris dan membuat orang2 waras tak lagi percaya dgn aparatur negara,baru kemarin ngomong ada transaksi mencurigakan 300T di Kemenkeu,pajak kini diralat,
Menjilat air ludah sendiri",MuhammadIkhtid5
2023-03-15 23:03:20+00:00,@sjrdne @Amallamaa @asumsico Gak nanya,ClaudyaMohede
2023-03-15 23:03:09+00:00,Kakorlantas Irjen Firman Shantyabudi sebut adanya pengurangan BBNKB dan penghapusan pajak progresif akan mempermudah masyarakat https://t.co/JBxz93qlPD,kompascom
2023-03-15 23:02:43+00:00,@Migran_TV_7777 @jokowi Bukannya pajak dikurangi.,Redgerbil5
2023-03-15 23:01:13+00:00,"@JudgesSsp Wyrok nie po myśli władzy... Ten wyrok jest odklejony od przepisów i rozsądku. Gdyby to ode mnie zależało, wypierdoliłbym tą sądzię z roboty. Żenujący wyrok, żenującą Iustitia",AdPajak
2023-03-15 23:01:09+00:00,@asumsico Siapa suruh balap liar. Ganggu orang,ClaudyaMohede
2023-03-15 23:01:00+00:00,"Desak Skandal Pajak Diusut, LaNyalla: Jangan Bikin Takut Rakyat!

#DecayRegime 
#DecayRegime 
https://t.co/uAMljD7pHS",chyyeolit
2023-03-15 23:00:23+00:00,@pdo3004 @Fatpiggsy @mohammad_fadli7 @ResourcesJam @detikcom Fungsi lu bayar pajak itu utk apa ?,MTiti299
2023-03-15 23:00:10+00:00,"Dibeberkan Joyada Siallagan, Begini Praktik Nakal yang Kerap Dimainkan Oknum Ditjen Pajak dan Bea Cukai! https://t.co/VCY5csHt4i https://t.co/wiAaM2yPiF",requisitoire
2023-03-15 23:00:01+00:00,"HMI soal 134 Pegawai Pajak Pegang Saham: Berpotensi Korupsi

#DecayRegime 
#DecayRegime 
https://t.co/H7gKMlT4xJ",AsalBersamaMu
2023-03-15 23:00:01+00:00,"Pak JKW akan menyeberangkan bangsa ini dalam keadaan porak-poranda, hutang di mana-mana, korupsi merajalela, pejabat pajak banyak yang hidup mewah, etika tidak dipedulikan, dan Sri Mulyani gagal menegakkan keadilan.
#DecayRegime 
#DecayRegime 
https://t.co/a3ie8S5sBS",H4mdB
2023-03-15 23:00:00+00:00,Bobrok 134 Pegawai Pajak Punya Saham di 280 Perusahaan Tertutup #DecayRegime #DecayRegime https://t.co/JxVTvx6Vmt,M4l3zm4ndi
2023-03-15 23:00:00+00:00,"Pejabat Pajak Wahono Saputro Bungkam Usai 7 Jam Jalani Klarifikasi Kekayaan di KPK
#DecayRegime 
#DecayRegime
https://t.co/V8EwbXzXdH",Fathee_Q
2023-03-15 23:00:00+00:00,"Kemenkeu Tak Akan Copot Ditjen Pajak Suryo Utomo: Kinerja Bagus, Jangan Kita Tidak Fair Karena Isu Kemarin! 

#DecayRegime 
#DecayRegime 
https://t.co/eC2aRxpQLE",umma_nafa
2023-03-15 23:00:00+00:00,"Beberapa hari terakhir ini, berbagai kasus buruk terjadi di negeri ini, mulai dari kasus penganiayaan, kasus pajak, kasus bea cukai, kasus transaksi mencurigakan, sampai kasus robot trading.
#DecayRegime 
#DecayRegime 
https://t.co/hyk16VBu1K",AsalBersamaMu
2023-03-15 22:59:21+00:00,"@Pra__93 Diem yo mas..
Nnt ketahuan Petugas Pajak  🤫",__XpaiX__
2023-03-15 22:58:43+00:00,"@MelesetDikit Pajak dibayar rakyat untuk subsidi hidup mewah  pejabat bobrok...
Sedih euy....",Istiqomah_trus
