label;Text
;@DitjenPajakRI Bayar Pajak terus dikorupsi??????  Orang pajak kaya RAT msh brp ribu lg di Dirjen Pajak yg harta ya ga wajar min?
;"Sri Mulyani Blak-blakan Harta Dirjen Pajak yang Dianggap Korupsi
https://t.co/ko49zSYm3i"
;Yuk Cari Tau, Kemana Saja Alokasi Uang Pajak https://t.co/qMKMlj1JlR via @Vibiznews.com https://t.co/AR81UqmVwS
;"Bayar pajak untuk kesejahteraan masyarakyat?
Bayar pajak untuk memperkaya oknum pejabat pajak?"
;Pagi pagi sudah diskusi di @ElshintaBandung @RadioElshinta  menjelang klarifikasi LHKPN dari pegawai pajak Rafael Alun yang direncanakan KPK hari ini
;"@DitjenPajakRI Seandainya itu dilakukan sdah dri dulu pejabat pajak kena tangkap kpk smua
Tapi Mantap min penjelasanya
Udah layak beli rubicon"
;@FurqonJimmy KRENA  BANYAK PEJABAT  INDONESIA  MEMPERKAYA DRI HIDUP HEDON BARANG  MEWAH  HOBBY  KELILING DUNIA  PKAI DUIT RAKYAT  SEPERTI PEJABAT PAJAK ITU BERTAHUN TAHUN TDK KETAHUAN  KRENA  SATU PAKET  MSIH SM NO JUSTICE  NO VIRAL
;"Orang kerja keras, tapi kagak berupaya menjaga ""nilai"" keringatnya tetap angkanya, 

capek-capek kerja buat beli makanan, minuman mahal, ujung""nya jadi kotoran, beli kendaraan atau elektronik mewah, nilainya berkurang terus tiap tahun, duit dibakar jadi asap, kena pajak dll."
;"@prastow Duit hasil pajak rakyat  di gunakan pencitraan ... 
Tiada ahlak ..."
;Ketika rakyat menggugat langsung kinerja pemerintah dan hanya bersuara lewat media sosial. Wakil rakyat hanya duduk tenang dan tidur menikmati hasil pajak rakyat. Tanpa sekalipun muncul untuk mengecek ombaknya. Kamu nanyeaaa??? Kamu bertanyeaaa taenyaa??? https://t.co/LozGMmQey1
;"@CH4__15R @msaid_didu Yg bayar utang kowi juga rakyat,
Yg bayar pajak juga rakyat
Yg ancur ancuran juga rakyat
mrk ya tambah tajir, lalu dr mulutnya menghimbau belanja belanja belanja,
Kurang sinting gimana lg"
;@pupr_perumahan Min mau tanya sebenarnya jalan perumahan yg sudah penyerahan PSU ke pemkab selanjutnya milik siapa? Apakah pengembang masih memiliki hak atas tanah PSU? Soalnya developer perumahan sebelah menutup akses jalan ke perumahan saya dengan alasan developer saya belum bayar pajak jalan
;Gw yang cita² pengen jadi pegawai pajak atau bea cukai????
;@detikcom Sanksi yang korupsi pajak ... hukuman mati boleh?
;@Mr_Miauw @hiroeshy @DitjenPajakRI Cieee cieee... emang sumberdaya alam negara kita yg katanya utk kemakmuran rakyat kemana kok malah ke pajak? Dari jaman kerajaan, jaman kumpeni, sampe merdeka pun tetep mainnya pajak ?????? kagak kreatif cari pendapatan ????????
;@billy06362378 @KPK_RI @KPK_RI pakai anggaran dari pajak rakyat, jadi berita seperti ini apa tidak ada tindak lanjut?
;@detikcom Kaga usah bikin berita yg bernada ancaman min.. nama instansi pajak lagi di sorot publik.. kan tau publik lagi gregetan. Publik malah makin berani klo di ancam.
;@hiduptelanjang @CNNIndonesia Ngaco nih anak. Bpjs tu full duit gotong royong, jalan ke rumah ente itu full PAD dari lho bayar parkir pjk motor, PBB dll. kalo org kaya gaji diatas 5jt . Ada pajak pph nah ini besaran bisa up 35% dr total gaji setahun, coba sesekali jd org berduit biar ngrasain
;@Limbahjenuh @spesiallsambat @DitjenPajakRI 45 ribu pegawai pajak, tapi tetep kita yg suruh lapor SPT.. Penyakit mereka udah kronis ??
;"@detikcom Mangkahnya aku gk mau pnya mobil
1 harus byr pajak
2 aku orang nya pemabuk
3 rusak mau di perbaiki lagi cpek bnget pnya mobil mending motor sih????"
;Buzzer pajak njir
;@republikaonline Jika pegawai pajak patuh dengan regulasi dan cukup dengan gaji yang dibayar oleh negara, maka tidak ada celah untuk dimanfaatkan wajib pajak
;"@kring_pajak #LupaEFIN 
WP orang pribadi
Sudah"
;Terpaksa Bayar Pajak https://t.co/8iTfZOOYVE
;@kring_pajak @arf_ @DitjenPajakRI enak juga ya.., bisa bebas wajib lapor pajak..
;@farizalniezar Adalah lucu ketika ada petinggi NU masuk pemerintahan lalu mengemplang pajak wkwkwkwk
;@prastow Tertawa diatas penderitaan pembayar pajak ??
;@detikcom Agnes jadi pegawai pajak
;@DitjenPajakRI Saya justru percaya pegawai Pajak byk yg ga beres, dulu ada Gayus Tambunan pelaku model begituan kan ?
;@ardypatandung @shayyll2 @PartaiSocmed @prastow @kring_pajak Realitanya banyak yg kaya bang pegawainya??
;"@OposisiCerdas Sebaiknya di audit lagi semua pejabat pajak.
Agar kepercayaan masyarakat bisa pulih..."
;"@prastow Bilang aja dari hutang.
Pajak itu utk kemakmuran rakyat.
Masak utk biaya tol?
Anda ini kadang kadang....."
;Dengan sadar, BERUTANG karena ada yang bayarin utang tersebut yaitu dari warga yang bayar pajak... Pantesan NumpukIN UTANG.. https://t.co/9YR09K0rYJ
;@andlonelyy @arendysm @DitjenPajakRI Ada kaitannya lah, karena kami warga negara yang bayar pajak, tapi liat klakuan teman-temn anda klakuannya bikin untuk ke untungan pribadi. Seharus duit pajak digunakan pada tempatnya malah untuk gendutin rekeningnya.
;"@idextratime “Sesungguhnya pelaku/pemungut pajak (diadzab) di neraka” [HR Ahmad 4/109, Abu Dawud kitab Al-Imarah : 7]
(Hadits ini dishahihkan oleh Syaikh Al-Albani.)"
;Kemarin instansi polisi, terus Pajak, baru liat lg tadi beacukai. Rencana Allah apa yaaa? Kok yaaa dibongkar semua ini ??
;"@DitjenPajakRI Jangan lupa bayar pajak ya ??
Lol"
;Kalau ente merasa menjadi pegawai pajak yg jujur yaudh gausah marah ! Semua sindiran ini buat merrka yang kotor dan pasti kalian tau lah
;KPK memanggil mantan pejabat pajak, Rafael Alun, terkait LHKPN mencapai Rp 56 Miliar. Komisi III DPR mendukung langkah tersebut. https://t.co/pnILachrUp
;@medhopolitan Mohon maaf ka, minfren salah bales, untuk beli paket atau pulsa sudah termasuk pajak ya jika belinya di MySF. Terima kasih. Hana
;Dpt rubicon ga ? klo lapor pajak
;Bayar pajak buat hedon anak pejabat ??
;@CNNIndonesia stop bayar pajak biar g ada korupsi ??????
;"Seharusnya ulama mengingatkan umat bahwa pajak itu haram!

https://t.co/Os2j0tzC9C"
;@tomahawkriders Iya toko bangunan kelihatan bisnis kecil tp aslinya gede, dikesankan seolah kecil, buat ngemplang pajak, juga kali aja emang lagi butuh sama lawyer.
;"@PartaiSocmed Perbedaan dengan pns Kementrrian lain dan pns daerah juga sangat timpang.. digaji tinggi karena ""tukang catat pajak""??"
;@otongkoil Dirjen Pajak
;@kurawa Pembayar pajak yg baik akan dapet mobil Esemka dan sepeda serta 3 macam ikan
;@BayuSukoco7 @kurawa Beli barang aja ada pajak. Ada pajak ini, pajak itu. Banyak sektor lah. Serasa tiada lini dan hari tanpa bersentuhan dengan pajak.
;Sri Mulyani Bubarkan Klub Moge Ditjen Pajak: Bamsoet: Silakan yang Punya Hobi, yang Penting Hasil Usaha Sendiri https://t.co/8iQeN6ZS0T #TempoBisnis
;@nasionalismeko1 @rifqiazizian @cocor_bangor @DitjenPajakRI kalo belom dapet harley, gua akuin dia jujur. cuma gamungkin juga sih orang pajak jujur????
;@elzamil @VigietWaluyo @kurawa Mngkin mas jrg main2 ke kantor pajak. Msing2 di kpp ad penghargaan atau award utk pembayar pajak tp bukan ngsih motor mobil. Tp klo yg rajin ke kpp atau konsultan pasti tau kok.
;@sandaran__hati @MprAldo suruh bayar pajak dlu...
;"@jaesahiy_ Anjenggg yg anak pajak aja belom selesai dah ada lagi anak polisi
Lama lama Indonesia ini isinya bangsat semua"
;@OdearaSurya @YruQt2XKBnOzz7S @prastow Nah coba Anda baca ulang ya mas. Biar ga ngarang. Semua dinasti hidup dari pajak. Baca juga Tarikh Khulafah nya Imam Suyuti, biar Anda punya pandangan berbeda ttg khilafah.
;"@CNNIndonesia Pribadi lebih setuju denda pajak diturunin sih....kan intinya yg penting gk mangkir dr kewajiban karena ya pendapatan naek turun jg, ap"" ud naek hargany??"
;@Rizky_sukamulia @AndiSinulingga Waktu jadi Gubernur Anies malah membebaskan Pajak Bumi dan Bangunan milik  para mantan pemipin yg berjuang dan berjasa untuk negara.
;"Orang bijak bayar pajak
Orang jahat makan pajak
#PajakKitaUntukPejabat #pajak #PajakKitaUntukBeliRubicon"
;"@Gank_Of_Petojo @Louis_chantika Bu SMI kenapa bisa ada berita begitu? 

Kalo ga mau bayar pajak , Khan ada aturan UU nya, ttg sanksinya, dan tata cara penagihan nya. 

Kenapa kesannya bu SMI adalah pemilik republik ini? ????????

Kaya buzzerRp aja yg suka bilang :""kadrun, pulang sono ke Arab"" ????"
;"Mari kita bersama-sama membangun kesadaran akan pentingnya menjaga integritas dalam pengelolaan pajak, sehingga kita dapat mewujudkan negara yang lebih baik &amp; sejahtera untuk kita semua.

#nasehatseseorang #etika #attitude #halsederhana #pajak #introspeksi #pengingat #integritas https://t.co/Jh75y9JuuF"
;@proletarsusah @CNNIndonesia Klo make sense berarti bukan pegawai pajak ya.
;@rifqiazizian @Emberplastik19 @cocor_bangor @DitjenPajakRI gua curiga lu orang pajak bong… rubicon udah dapet? minimal harley lah ya??????
;@agunsetiawn @tvOneNews Muhamadiyah mah enak orangnya kaya kaya masa mau ikutan ga bayar pajak juga ??
;@detikcom Hahahaha... Apa emang plat merah bebas bayar pajak ya????
;@DitjenPajakRI @smartfrenworld @smartfrencare beli paket atau pulsa apakah sudah termasuk pajak gan?
;Di negara wakanda ada pegawai pajak lupa bayar pajak. Malah pegawai pajak nilep hasil pajak
;"@CNNIndonesia Bukan cuma anda, saya juga tahu.
Karena viral, kalau gak viral ya anda dan saya gak tahu.

Jangan2 orang seperti Rafael di lingkungan pajak ada banyak, cuma gak viral aja jadi gak ketahuan."
;@CNNIndonesia Wajarlah... ya nga @prastow ... sangat wajarkan, kerja uda capek, kejar wajib pajak, hasilnya juga sesuai pendapatanlah, ya nga pak....
;"Sebenarnya rakyat mau saja bayar pajak, asalkan;

- Kekayaan negara telah digunakan semaksimal mungkin utk kesejahteraan masyarakat. Pajak sifatnya melengkapi kekurangan.

- Aparat negara tidak korup dan foya2.

- Hasil pajak tampak nyata dalam bentuk pelayanan dan fasilitas"
;@DitjenPajakRI Cepetan bayar pajak ya biar cair miminnya?
;Agensi Lee Byung Hun Membantah Tuduhan Penggelapan Pajak https://t.co/grpGGrZndy
;@KompasTV Agnes jadi pegawai pajak
;@rifqiazizian @takberotak nanya sama CEO dibilang kesaksian yang real? tengok warga desa, yang gatau menahu soal pajak dsb. gue yakin, semuanya pd gapercaya soal begituan
;@detikcom Pejabat pegawai pajak di setiap kota  lihat aja pasti kaya rayaaaaa
;"@pengarang_sajak Acivement nya banyak tp disini dikadalin oligarki dan bawahan wkwkwkwk.
400triliun bayar bunga hutangnya doang ??
Rakyat bayar pajak anak, buahnya pamer"" hidup dalam kemewahan.??"
;@kring_pajak #LupaEFIN
;Rakyat bayar pajak tp ujungnya di korupsi
;@Tan_Mar3M @TerongU72356816 Naik Kereta Api, murni ongkos tanpa tambahan biaya pajak lagi. Iyakah?
;"Dari politik menipu identitas inilah lahir para pendusta dan penipu. Disuruh ngurus bansos, malah dikorupsi. Nyuruh rakyat taat bayar pajak, dia sendiri tdk bayar pajak. 

Intinya adalah, para penipu identitas ini tidak akan pernah membawa kebaikan untuk negara dan bangsa ini. https://t.co/wiiP1t9Tcg"
;@DitjenPajakRI Gua rakyat kecil,beli pulsa aja kena pajak
;@tjut_yatie9 @HMMurah3 Kalo perampok pajak .. bagaimana?
;@sulaimanariefst @txtdariterserah Pegawai pajak paling tepat.
;@kumparan Ayo Bayar Pajak!
;@farizalniezar Pajak pemerintah pusat PPN dan PPH gak mungkin bisa dihindari, anda belanja dan bekerja otomatis bayar pajak. Pahami dulu jenis2 pajak biar gak malu
;@RagilSemar Ayo ramaikan nunggak pajak ikut para pejabat
;"Halooo. Indra namaku. Cita-citaku jadi pegawai kantor pajak ??????

#KawalDavid https://t.co/Nc3GlWR7Rh"
;@detikcom Kami orang miskin di suruh byr pajak pulak di mana hati nurani mu
;@KompasTV AG ini pacarannya bikin heboh, harta bapaknya mario diubek-ubek, sampai dirjen pajak, menkeu tapi menag mah aman tuh walaupun kekayaan melonjak dalam waktu singkat. https://t.co/zpiglKNlFX
;@dhinaverse yauda makan yg banyak biar pemasukan pajak banyak, jangan lupa belanja yg banyak
;@VigietWaluyo @kurawa Monggo ikuti yg di kabupaten, klo di djp pembayar pajak trbesar it adlh perusahaan besar yg aset ny diatas milyaran, perusahaan migas, tambang dll. mreka diksih motor? Wkwk malu2in, oklah diksih mobil tpi hei ad ribuan di djp pmbyar pajak trbesar mau brp milyar hbis utk it? Ad2aj
;@DitjenPajakRI Wajib pajak wajib pajak, yang wajib mah sholat coy
;@DitjenPajakRI Yang di video belum dapet tas hermes, jadi ayooo bayar pajak… di maenan monopoly
;Kenape inget pajak malah inget rubicon dan harley yak
;@CH4__15R Memang bukti nyata uang pajak tidak merata pembangunan diindonesia,masih terkesan tebang pilih..klu dikampungku makan martabak tawar alias lumpur kuning dah sarapan tiap hari..smangatttt aja buat pejuang ilmu maupun pejuang rezeki tuhan pasti mmberikan kekuatan buat kita semua.
;@rifqiazizian @cocor_bangor @DitjenPajakRI Yakin beresin dari dalam? Contoh konkretnya apa selain restruktuisasi dsb? Gue jg gak percaya orang pajak itu jujur, kecuali Mr. Clean (Marie Muhammad). Klo gak tau, searching google.
;Peraturan pajak rumit seolah olah butuh orang yg cerdas padahal cuman akal akalan doang ujung ujungnya uang pajak habis buat biaya operasional
;@Gank_Of_Petojo Jika ingin rakyat membayar Pajak tepat waktu maka anda harus bisa  tunjukan bahwa anda adalah  pengelola Pajak yang baik.
;"Selamat pagi, Temankeu!

Cek #InfoKeu kurs pajak terbaru periode 1-7 Maret 2023.
??????
https://t.co/60Ubhyt04W https://t.co/Y5c8jtE9P7"
;@DitjenPajakRI Klo pa dirjen pa Roy Suryo dan pa Rafael Nadal berapa?eh min pegawai pajak kan banyak penghasilannya, itu masuk 1770 s apa sss
;"@kafiradikalis bu SMI sbnarnya jg patut diapresiasi dgn modernisasi pajak di tahun 2006-2008 loh bang

mungkin org yg disekelilingnya dan tekanan politik mempengaruhinya

tapi yakinlah, masih bnyk pgwai pajak yg jujur, apalagi yg muda2 &amp; gnrsi milenial"
;@detikcom Stop bayar pajak
;Asyik yah,,rakyat yanf bayar pajak, mereka yang foya foya,,seharusnya para pengkhianat ini pindah dari Indonesia
;@Sitday2 Soalnya rada aneh beritanya seleb kena kasus pajak berurutan gitu.di sokor kan baru ada kasus presiden sama dewan rakyatnya.biasanya kan buat nutup2i kasus gini trus di munculin skandal seleb teh??
;@CNNIndonesia Kalau penyelewengan sih gak mungkin, kan uang pajak itu masuk kas negara. Yang mungkin itu petugas pajak minta sekian % dari wajib pajak utk diuruskan pajaknya yg masuk ke kas negara. Bayangkan aja, 1 wajib pajak bisa ratusan juta lho
;Menarik fatwa NU ttg pajak. Perlu disimpan.
;"Pajak seharusnya adalah amanah yang diemban
Untuk membangun masa depan yang lebih baik
Namun ketika digunakan secara salah dan tidak benar
Akan menghancurkan negara dan merusak kehidupan kita semua

#nasehatseseorang #etika #attitude #integritas #pajak #introspeksi https://t.co/pH8LUbcvCC"
;@max_rif @fahrurrosidi @DitjenPajakRI Emang nambal ban di Ditjen Pajak bakal lama sampe bikin negara shutdown gitu kah? Chaos dong situasi di situ? Kalau emang chaos, apa masalahnya kalau sekedar switch dari chaos A ke chaos B? Kerja dimana mas?
;@OposisiCerdas Uang pajak dari rakyat buat pesta pora *sungguh menyakitkan
;@DitjenPajakRI Agak nyesek bayar pajak mobil motor tepat waktu tapi alokasi dana buat kepentingan pribadi. Cooooookkk jncookkk.
;@idextratime bayar pajak buat rubicon bocah tolol
;"Pajak yang seharusnya menjadi alat pembangunan
Malah menjadi sumber penghancuran negara
Karena korupsi dan penyelewengan yang merajalela
Inilah bencana besar yang harus kita lawan bersama-sama

#nasehatseseorang #etika #attitude #integritas #pajak #introspeksi https://t.co/AxR2BzSut4"
;@Tan_Mar3M Konon mobil yg dicuci...ada nitizen cek.... belom bayar Pajak...nah loh...#Dasar #nitizen #usil ??
;"@DitjenPajakRI Senyum ramah sang guru bijak
Besandal teflon untuk berpijak
Susah payah rakyat bayar pajak
Untuk hidup hedon petugas pajak"
;@emerson_yuntho Saya juga mau beli kalo ada, dan gak bakal saya umbar beli dr mana. Aman dan amanah. Ayo pegawai pajak notice tweet saya
;"@keuangannews_id PAJAK+SDA, wow...kaya negri ini. Karena itu gaji pejabat selangit + ""SUBSIDI"" yg diperhalus kalimatnya jadi ""TUNJANGAN"". Kalian bagi 2x, habiskan, lalu ngutang, dimaling lagi. Kalian rampok negri ini. Nggak bermoral. LAKNAT."
;@aji12345678910X @kurawa Tidak ad yg sempurna mas jika mnjawab pertanyaan mu ini, satu hal yg hrus kita tahu bhwa tnpa pajak negara kita ni akan goyah. Bayangin gaji perawat rs pemerintah, guru2 negeri sd smp sma (ini aj dlu biar g ribet) it sumber dri pajak. Apakah mas sndiri sbgai rkyat mau byr mreka?
;"Pajak yang disetor oleh rakyat
Harus digunakan untuk kemaslahatan bersama
Bukan untuk memperkaya segelintir orang yang tidak bertanggung jawab
Sehingga negara menjadi terpuruk dan rakyat menderita

#nasehatseseorang #etika #attitude #integritas #pajak #introspeksi https://t.co/mwXTX3oiOH"
;pajak 2022 udh lapor. nanti yg 2023 ga dulu.
;"@Satrio_Prasetya @panca66 @YRadianto @prastow @AgusYudhoyono Kl taat ga bakal ada sanksi adm. Yg telat dibayar pajak 2022, br dibayar 2023. Jatuh tempo 2023 itu saatnya ganti stnk &amp; plat nomor.
Belain Panca boleh, goblok jangan
https://t.co/JRPJmZnJRK"
;@DitjenPajakRI Nnti uang pajak untuk beli rubicon dan moge yaa?
;@hiduptelanjang @CNNIndonesia Semoga yg makan pajak rakyat, hidupnya dilaknat oleh Allah dunia dan akherat... aamiin....
;@marlina_idha Jadikan dirjen pajak cocok neh
;@kafiradikalis Kemenkeu lebih suka bicara radikalisme ketimbang korupsi apalagi setelah staf khusus masuk. ??. Ditunggu komentar dia tentang pembubaran Ditjen Pajak sebagaimana komentar dia waktu jadi pengamat perpajakan.
;"Pajak adalah sumber kehidupan negara
Namun ketika digunakan secara tidak benar
Akan menjadi beban berat bagi rakyatnya
Mereka yang seharusnya dilindungi, justru menjadi korban

#nasehatseseorang #etika #attitude #integritas #pajak #introspeksi https://t.co/jVYuAGWIRu"
;"PETINGGI DAN ORANG KAYA BEBAS PAJAK...?
Giliran Rakyat Jelata, diperas Pajaknya, Dan Hasilnya dipake juga buat Bancakan...?
WAKANDA memang TOP. https://t.co/AwrudjuJ0d"
;Akibat Dianiaya Anak Pejabat Ditjen Pajak, David Alami Anomia di Kepalanya https://t.co/BcemeQNVB0
;@mfatahilahakbar @kafiradikalis Tindak pidana pajak dgn pidana pencucian uang itu saling berdempetan ga, Mas?
;"Ramai di berbagai platform media sosial warganet ajakan untuk tidak membayar pajak buntut kasus penganiayaan oleh anak pejabat pajak Mario Dandy. Ini dampak bagi negara jika warganya tidak membayar pajak.
#pajak #mariodandy #kasusmariodandy

https://t.co/ckdh5WIVYm"
;@suryaamriza @CNNIndonesia Sama aja, intinya uang pajak harusnya 100% masuk ke kas negara, setelah nego2 dengan pejabat pajak korup jadinya yg masuk kas negara cuma sebagian sisanya masuk kantong pribadi.
;@kring_pajak Belum dibalas lagi
;"Pajak yang seharusnya digunakan untuk membangun
Malah disalahgunakan oleh orang-orang yang jahat
Sungguh memilukan hati, melihat negara ini terus terpuruk
Karena kebijakan yang tidak tepat dan kurang adil

#nasehatseseorang #etika #attitude #integritas #pajak #introspeksi https://t.co/sqfxNu7A7k"
